iter	Logloss
0	0.6639393767
1	0.6388240567
2	0.6132712181
3	0.5916788744
4	0.5713599333
5	0.5521114995
6	0.5338419888
7	0.5173159352
8	0.5026565662
9	0.4886830964
10	0.4762177453
11	0.464443829
12	0.4545361517
13	0.4448371887
14	0.437207952
15	0.4303552371
16	0.4226497129
17	0.4152639144
18	0.4084680154
19	0.4021904163
20	0.3965376731
21	0.3912344409
22	0.3861204725
23	0.3821605454
24	0.3776558225
25	0.3735522662
26	0.3697142007
27	0.3659679027
28	0.3625397105
29	0.3590701074
30	0.3561102878
31	0.3539820844
32	0.3508340861
33	0.3481219817
34	0.3455351333
35	0.3433775131
36	0.3411288192
37	0.3392779272
38	0.337516644
39	0.3352097926
40	0.333879794
41	0.3320180789
42	0.3307692986
43	0.3290101703
44	0.3279829314
45	0.3268008902
46	0.3257056385
47	0.3243959088
48	0.3231558427
49	0.3220995978
50	0.3211131229
51	0.3195788876
52	0.3184333974
53	0.3173568996
54	0.3161114702
55	0.3153325356
56	0.3144104387
57	0.3132536487
58	0.3127208808
59	0.3119535099
60	0.3111082454
61	0.3103994448
62	0.3098412002
63	0.3091524032
64	0.3084238507
65	0.3077504731
66	0.3071833523
67	0.3064495762
68	0.3055552752
69	0.3046419854
70	0.3037851082
71	0.3032771446
72	0.3023473047
73	0.301786412
74	0.301277708
75	0.3007546962
76	0.3001497518
77	0.2994079617
78	0.2987377471
79	0.2982724967
80	0.2978629399
81	0.2973716263
82	0.2965599159
83	0.2961178755
84	0.2956622101
85	0.2950775219
86	0.2946021911
87	0.2942395648
88	0.2938082492
89	0.2931077101
90	0.2926025991
91	0.2920822226
92	0.2915520163
93	0.2909317974
94	0.2903803407
95	0.2900541202
96	0.2895846503
97	0.288894121
98	0.2885535813
99	0.288163296
100	0.2876912292
101	0.2874449461
102	0.2869046303
103	0.2865767778
104	0.2861187402
105	0.2855143972
106	0.2849223912
107	0.2846164282
108	0.2843753258
109	0.2839373204
110	0.2835679944
111	0.2830727495
112	0.2827472655
113	0.2824597819
114	0.2819745809
115	0.281531899
116	0.2812923679
117	0.2810350666
118	0.2806796229
119	0.2803627957
120	0.2799763015
121	0.2795954849
122	0.2792157472
123	0.2787781151
124	0.2785253331
125	0.2781104849
126	0.2777548451
127	0.2773996823
128	0.2771626644
129	0.276529194
130	0.2762513025
131	0.2759565049
132	0.2755808377
133	0.2752834141
134	0.2749568133
135	0.2747124439
136	0.2743174769
137	0.2738938612
138	0.273578314
139	0.2733178433
140	0.272996068
141	0.2726463422
142	0.2717728926
143	0.2715081735
144	0.2713078229
145	0.2710944811
146	0.2707107654
147	0.2704960519
148	0.2702589753
149	0.2699183067
150	0.2696027098
151	0.2694066404
152	0.2691674096
153	0.2686753482
154	0.2684099003
155	0.2680987143
156	0.2677795809
157	0.2675050965
158	0.2673668947
159	0.2671854478
160	0.266917044
161	0.266505985
162	0.2661502427
163	0.26584015
164	0.2655244718
165	0.26526437
166	0.2650444502
167	0.2648423748
168	0.2644718347
169	0.2641292336
170	0.2638566521
171	0.2636024695
172	0.2631923147
173	0.2629146556
174	0.2627431876
175	0.262473842
176	0.2622383148
177	0.2617884942
178	0.2615416499
179	0.2613670252
180	0.2609794896
181	0.2606503009
182	0.2602994333
183	0.2600738049
184	0.2597483274
185	0.2595974953
186	0.2592667388
187	0.2590139916
188	0.2587203805
189	0.2585065544
190	0.258188324
191	0.2576799691
192	0.2573821728
193	0.2572486068
194	0.2569575979
195	0.2568081337
196	0.2563620716
197	0.2561258427
198	0.2559336178
199	0.2557721144
200	0.2555145083
201	0.2551920231
202	0.2547512544
203	0.2543243814
204	0.2540652442
205	0.2538791221
206	0.2535374469
207	0.2532311419
208	0.2530873116
209	0.2528616197
210	0.2526282332
211	0.25243646
212	0.2522468009
213	0.2521014866
214	0.2520060621
215	0.2517719893
216	0.2516365505
217	0.2514959614
218	0.2511921146
219	0.2508433017
220	0.250611379
221	0.2504541998
222	0.2503157844
223	0.2502114567
224	0.2500132473
225	0.2497695328
226	0.2496505873
227	0.2494920726
228	0.2493323885
229	0.2492245489
230	0.2488660734
231	0.2486204668
232	0.2484541088
233	0.2481394346
234	0.2479844888
235	0.2478121057
236	0.247593889
237	0.2473947162
238	0.247214741
239	0.2470227382
240	0.2468346334
241	0.2466605628
242	0.2465617938
243	0.2463701419
244	0.2460909903
245	0.2458314594
246	0.2456357706
247	0.2454595007
248	0.2453236204
249	0.2450831491
250	0.244905436
251	0.2446585132
252	0.2444307286
253	0.2442143845
254	0.2437867114
255	0.2435217622
256	0.2433024946
257	0.2430296712
258	0.2429143529
259	0.2427561902
260	0.2425479318
261	0.2424421168
262	0.242217374
263	0.2420494695
264	0.2419101707
265	0.2416663598
266	0.2414151285
267	0.241231466
268	0.2409349053
269	0.2406544925
270	0.2404701282
271	0.2403205765
272	0.2402059839
273	0.2400216213
274	0.2398132288
275	0.2395349807
276	0.2393111616
277	0.2391020775
278	0.238895479
279	0.2386682356
280	0.2384874609
281	0.2383506368
282	0.2380737918
283	0.2378801305
284	0.2376646789
285	0.2374122722
286	0.237198487
287	0.2369756965
288	0.2368446318
289	0.2366762416
290	0.2365170772
291	0.2363455517
292	0.2361744236
293	0.2361001666
294	0.2358086377
295	0.2357026637
296	0.2354706758
297	0.2352633617
298	0.2351518908
299	0.2348892792
300	0.2346616889
301	0.2344230052
302	0.2342333611
303	0.2341065527
304	0.2339921309
305	0.2338379187
306	0.2334714882
307	0.2333644981
308	0.233156562
309	0.2329903094
310	0.232734774
311	0.2326094495
312	0.2322670089
313	0.2320541555
314	0.2319472284
315	0.2317628522
316	0.2316065957
317	0.2313831423
318	0.2311741321
319	0.2310673187
320	0.2307643318
321	0.2306529843
322	0.2304746232
323	0.2302892986
324	0.2301905916
325	0.2300821819
326	0.2298801292
327	0.2296363354
328	0.2294924761
329	0.2292163641
330	0.2290813624
331	0.2288599513
332	0.2284968617
333	0.2283352986
334	0.2280344208
335	0.2277812892
336	0.2276117409
