iter	Passed	Remaining
0	323	322936
1	356	177898
2	405	134856
3	524	130561
4	623	124091
5	660	109439
6	698	99054
7	729	90519
8	763	84059
9	804	79646
10	836	75175
11	893	73601
12	927	70401
13	958	67535
14	995	65403
15	1029	63337
16	1061	61378
17	1138	62113
18	1173	60600
19	1206	59135
20	1238	57730
21	1274	56645
22	1309	55646
23	1356	55161
24	1392	54294
25	1422	53278
26	1453	52374
27	1494	51890
28	1526	51120
29	1559	50431
30	1595	49860
31	1626	49208
32	1659	48643
33	1694	48148
34	1725	47586
35	1773	47496
36	1809	47087
37	1839	46578
38	1915	47198
39	1946	46726
40	1978	46269
41	2019	46071
42	2059	45839
43	2093	45486
44	2137	45363
45	2190	45429
46	2222	45063
47	2253	44701
48	2288	44408
49	2321	44108
50	2353	43799
51	2391	43602
52	2455	43877
53	2503	43849
54	2540	43652
55	2603	43882
56	2646	43778
57	2701	43876
58	2742	43739
59	2781	43571
60	2819	43399
61	2867	43377
62	2908	43257
63	2949	43138
64	3000	43155
65	3031	42896
66	3070	42751
67	3102	42527
68	3137	42332
69	3169	42111
70	3202	41902
71	3232	41669
72	3264	41449
73	3298	41281
74	3329	41066
75	3364	40910
76	3415	40947
77	3448	40766
78	3489	40686
79	3620	41638
80	3713	42136
81	3768	42191
82	3844	42478
83	3903	42569
84	3934	42355
85	3971	42213
86	4009	42079
87	4041	41884
88	4082	41784
89	4114	41598
90	4145	41405
91	4179	41254
92	4214	41100
93	4260	41067
94	4296	40928
95	4326	40744
96	4357	40567
97	4396	40469
98	4428	40303
99	4461	40151
100	4498	40037
101	4527	39859
102	4559	39703
103	4593	39572
104	4639	39544
105	4675	39433
106	4708	39296
107	4738	39137
108	4768	38976
109	4807	38898
110	4840	38767
111	4892	38789
112	4929	38691
113	4960	38548
114	4999	38471
115	5032	38349
116	5071	38271
117	5125	38309
118	5163	38226
119	5200	38136
120	5243	38094
121	5282	38016
122	5315	37900
123	5346	37773
124	5384	37694
125	5416	37571
126	5447	37446
127	5488	37389
128	5529	37334
129	5562	37224
130	5596	37126
131	5630	37023
132	5662	36914
133	5695	36806
134	5725	36685
135	5755	36564
136	5791	36482
137	5819	36350
138	5849	36235
139	5895	36214
140	5939	36185
141	5971	36082
142	6008	36008
143	6039	35902
144	6071	35800
145	6109	35738
146	6142	35644
147	6173	35538
148	6207	35455
149	6240	35362
150	6271	35259
151	6304	35175
152	6336	35077
153	6389	35099
154	6419	34995
155	6449	34893
156	6485	34820
157	6517	34731
158	6544	34616
159	6574	34516
160	6607	34431
161	6637	34335
162	6666	34232
163	6702	34164
164	6732	34070
165	6776	34045
166	6807	33956
167	6837	33863
168	6868	33775
169	6903	33705
170	6933	33611
171	6964	33529
172	7001	33469
173	7035	33398
174	7068	33324
175	7102	33254
176	7134	33172
177	7172	33122
178	7224	33133
179	7255	33054
180	7294	33007
181	7323	32917
182	7360	32861
183	7397	32804
184	7427	32720
185	7457	32635
186	7495	32588
187	7523	32496
188	7556	32426
189	7595	32380
190	7638	32355
191	7669	32275
192	7707	32227
193	7740	32158
194	7773	32091
195	7807	32026
196	7839	31953
197	7870	31878
198	7905	31819
199	7936	31745
200	7968	31675
201	8015	31664
202	8056	31632
203	8107	31636
204	8140	31568
205	8174	31505
206	8207	31442
207	8240	31378
208	8271	31303
209	8305	31244
210	8337	31177
211	8370	31111
212	8412	31084
213	8450	31037
214	8485	30982
215	8513	30900
216	8544	30830
217	8582	30787
218	8613	30717
219	8645	30653
220	8681	30600
221	8709	30521
222	8740	30455
223	8770	30385
224	8808	30340
225	8851	30312
226	8887	30263
227	8917	30193
228	8951	30138
229	8988	30092
230	9023	30039
231	9057	29981
232	9091	29928
233	9123	29866
234	9155	29805
235	9191	29756
236	9235	29731
237	9267	29670
238	9303	29624
239	9334	29560
240	9370	29509
241	9406	29464
242	9437	29401
243	9470	29343
244	9508	29301
245	9540	29243
246	9572	29183
247	9629	29198
248	9661	29138
249	9696	29089
250	9727	29027
251	9761	28976
252	9797	28928
253	9829	28867
254	9861	28811
255	9900	28772
256	9929	28708
257	9960	28646
